model,resampled,accuracy,macro_f1,weighted_f1,qwk
Logistic Regression,True,0.2576796489303346,0.14440364070009765,0.3750422494852516,0.006155053419026446
Random Forest,True,0.8457213384530993,0.47881686489854963,0.8517407497483325,0.34551252474221683
XGBoost (Multiclass),True,0.7733132199670872,0.3494711516173717,0.7964978278886061,0.16926648833000446
LightGBM,True,0.7834613274821722,0.36602618148537513,0.8037925822081766,0.18077590986996683
XGBoost Ordinal,True,0.7502742731760834,0.3472768969176472,0.7809741463300032,0.15485809352143987
